Country,Population (millions),Country,Sex ratio (males to females),Country,Sex ratio (males to females),Country,Population aged 60+ years old (proportion),Country,Population density (per km2)
Guam,0.17,Guam,1.0270000000000001,Guam,1.0270000000000001,Guam,0.18100000000000002,Guam,310.1
Guatemala,18.41,Guatemala,0.9840000000000001,Guatemala,0.9840000000000001,Guatemala,0.071,Guatemala,171.8
Guernsey,0.06,Guernsey,0.977,Guernsey,0.977,Guernsey,0.29,Guernsey,1004.4
Guinea,14.75,Guinea,0.98,Guinea,0.98,Guinea,0.053,Guinea,60.0
Guinea-Bissau,2.2,Guinea-Bissau,0.977,Guinea-Bissau,0.977,Guinea-Bissau,0.049,Guinea-Bissau,78.3
Guyana,0.83,Guyana,0.9490000000000001,Guyana,0.9490000000000001,Guyana,0.105,Guyana,4.2
Haiti,11.77,Haiti,0.98,Haiti,0.98,Haiti,0.073,Haiti,427.0
Honduras,10.83,Honduras,1.014,Honduras,1.014,Honduras,0.068,Honduras,99.3
Hungary,9.68,Hungary,0.924,Hungary,0.924,Hungary,0.266,Hungary,106.9
Iceland,0.39,Iceland,1.0490000000000002,Iceland,1.0490000000000002,Iceland,0.21100000000000002,Iceland,3.9
India,1450.94,India,1.065,India,1.065,India,0.10800000000000001,India,488.0
Indonesia,283.49,Indonesia,1.0090000000000001,Indonesia,1.0090000000000001,Indonesia,0.115,Indonesia,148.4
Iran,91.57,Iran,1.033,Iran,1.033,Iran,0.122,Iran,56.2
Iraq,46.04,Iraq,1.008,Iraq,1.008,Iraq,0.055,Iraq,106.1
Ireland,5.26,Ireland,0.98,Ireland,0.98,Ireland,0.214,Ireland,76.9
Isle of Man,0.08,Isle of Man,0.981,Isle of Man,0.981,Isle of Man,0.306,Isle of Man,147.1
Israel,9.39,Israel,0.992,Israel,0.992,Israel,0.165,Israel,433.7
Italy,59.34,Italy,0.956,Italy,0.956,Italy,0.321,Italy,200.5
Jamaica,2.84,Jamaica,0.978,Jamaica,0.978,Jamaica,0.13,Jamaica,262.2
Japan,123.75,Japan,0.953,Japan,0.953,Japan,0.359,Japan,328.4
Jersey,0.1,Jersey,0.9740000000000001,Jersey,0.9740000000000001,Jersey,0.262,Jersey,895.2
Jordan,11.55,Jordan,1.065,Jordan,1.065,Jordan,0.073,Jordan,130.1
Kazakhstan,20.59,Kazakhstan,0.95,Kazakhstan,0.95,Kazakhstan,0.132,Kazakhstan,7.6
Kenya,56.43,Kenya,0.9890000000000001,Kenya,0.9890000000000001,Kenya,0.048,Kenya,97.2
Kiribati,0.13,Kiribati,0.943,Kiribati,0.943,Kiribati,0.07200000000000001,Kiribati,185.3
Kosovo,1.68,Kosovo,0.968,Kosovo,0.968,Kosovo,0.14800000000000002,Kosovo,154.5
Kuwait,4.93,Kuwait,1.5719999999999998,Kuwait,1.5719999999999998,Kuwait,0.059000000000000004,Kuwait,276.9
Kyrgyzstan,7.19,Kyrgyzstan,0.978,Kyrgyzstan,0.978,Kyrgyzstan,0.095,Kyrgyzstan,37.5
Laos,7.77,Laos,1.01,Laos,1.01,Laos,0.075,Laos,33.7
Latvia,1.87,Latvia,0.8640000000000001,Latvia,0.8640000000000001,Latvia,0.28800000000000003,Latvia,30.1
Lebanon,5.81,Lebanon,0.9470000000000001,Lebanon,0.9470000000000001,Lebanon,0.147,Lebanon,567.5
Lesotho,2.34,Lesotho,0.95,Lesotho,0.95,Lesotho,0.057999999999999996,Lesotho,77.0
Liberia,5.61,Liberia,0.997,Liberia,0.997,Liberia,0.053,Liberia,58.3
Libya,7.38,Libya,1.034,Libya,1.034,Libya,0.08199999999999999,Libya,4.4
Liechtenstein,0.04,Liechtenstein,0.987,Liechtenstein,0.987,Liechtenstein,0.284,Liechtenstein,249.2
Lithuania,2.86,Lithuania,0.894,Lithuania,0.894,Lithuania,0.27399999999999997,Lithuania,45.7
Luxembourg,0.67,Luxembourg,1.013,Luxembourg,1.013,Luxembourg,0.215,Luxembourg,259.9
Madagascar,31.97,Madagascar,1.006,Madagascar,1.006,Madagascar,0.054000000000000006,Madagascar,54.9
Malawi,21.66,Malawi,0.953,Malawi,0.953,Malawi,0.04,Malawi,229.0
Malaysia,35.56,Malaysia,1.099,Malaysia,1.099,Malaysia,0.11599999999999999,Malaysia,108.2
Maldives,0.53,Maldives,1.626,Maldives,1.626,Maldives,0.075,Maldives,1759.3
Mali,24.48,Mali,1.018,Mali,1.018,Mali,0.037000000000000005,Mali,20.1
Malta,0.54,Malta,1.079,Malta,1.079,Malta,0.26,Malta,1713.0
Marshall Islands,0.04,Marshall Islands,1.051,Marshall Islands,1.051,Marshall Islands,0.077,Marshall Islands,208.6
Martinique,0.34,Martinique,0.831,Martinique,0.831,Martinique,0.34299999999999997,Martinique,323.8
Mauritania,5.17,Mauritania,0.963,Mauritania,0.963,Mauritania,0.051,Mauritania,5.0
Mauritius,1.27,Mauritius,0.997,Mauritius,0.997,Mauritius,0.19899999999999998,Mauritius,626.2
Mayotte,0.33,Mayotte,0.9159999999999999,Mayotte,0.9159999999999999,Mayotte,0.044000000000000004,Mayotte,870.7
Mexico,130.86,Mexico,0.9420000000000001,Mexico,0.9420000000000001,Mexico,0.122,Mexico,66.8
Micronesia (Fed. States of),0.11,Micronesia (Fed. States of),0.987,Micronesia (Fed. States of),0.987,Micronesia (Fed. States of),0.09300000000000001,Micronesia (Fed. States of),161.7
Monaco,0.04,Monaco,0.958,Monaco,0.958,Monaco,0.435,Monaco,25926.8
Mongolia,3.48,Mongolia,0.9940000000000001,Mongolia,0.9940000000000001,Mongolia,0.087,Mongolia,2.2
Montenegro,0.64,Montenegro,0.9279999999999999,Montenegro,0.9279999999999999,Montenegro,0.242,Montenegro,46.2
Montserrat,0.0,Montserrat,0.992,Montserrat,0.992,Montserrat,0.266,Montserrat,42.6
Morocco,38.08,Morocco,1.0170000000000001,Morocco,1.0170000000000001,Morocco,0.12300000000000001,Morocco,85.3
Mozambique,34.63,Mozambique,0.9420000000000001,Mozambique,0.9420000000000001,Mozambique,0.040999999999999995,Mozambique,44.0
Myanmar,54.5,Myanmar,0.991,Myanmar,0.991,Myanmar,0.114,Myanmar,83.4
Namibia,3.03,Namibia,0.955,Namibia,0.955,Namibia,0.059000000000000004,Namibia,3.7
Nauru,0.01,Nauru,1.037,Nauru,1.037,Nauru,0.051,Nauru,597.3
Nepal,29.65,Nepal,0.919,Nepal,0.919,Nepal,0.096,Nepal,201.5
Netherlands,18.23,Netherlands,0.987,Netherlands,0.987,Netherlands,0.273,Netherlands,541.4
New Caledonia,0.29,New Caledonia,0.973,New Caledonia,0.973,New Caledonia,0.16399999999999998,New Caledonia,16.0
New Zealand,5.21,New Zealand,0.988,New Zealand,0.988,New Zealand,0.233,New Zealand,19.7
Nicaragua,6.92,Nicaragua,0.968,Nicaragua,0.968,Nicaragua,0.083,Nicaragua,57.5
Niger,27.03,Niger,1.031,Niger,1.031,Niger,0.042,Niger,21.3
Nigeria,232.68,Nigeria,1.023,Nigeria,1.023,Nigeria,0.049,Nigeria,255.5
Niue,0.0,Niue,0.93,Niue,0.93,Niue,0.231,Niue,7.0
North Macedonia,1.82,North Macedonia,0.9470000000000001,North Macedonia,0.9470000000000001,North Macedonia,0.247,North Macedonia,73.2
Northern Mariana Islands,0.04,Northern Mariana Islands,1.119,Northern Mariana Islands,1.119,Northern Mariana Islands,0.168,Northern Mariana Islands,96.9
Norway,5.58,Norway,1.016,Norway,1.016,Norway,0.24600000000000002,Norway,18.3
Oman,5.28,Oman,1.646,Oman,1.646,Oman,0.043,Oman,17.1
Other non-specified areas,23.21,Other non-specified areas,0.98,Other non-specified areas,0.98,Other non-specified areas,0.26899999999999996,Other non-specified areas,655.6
Pakistan,251.27,Pakistan,1.0290000000000001,Pakistan,1.0290000000000001,Pakistan,0.067,Pakistan,326.0
Palau,0.02,Palau,1.167,Palau,1.167,Palau,0.17800000000000002,Palau,38.5
Panama,4.52,Panama,1.0,Panama,1.0,Panama,0.135,Panama,60.9
Papua New Guinea,10.58,Papua New Guinea,1.0590000000000002,Papua New Guinea,1.0590000000000002,Papua New Guinea,0.059000000000000004,Papua New Guinea,23.4
Paraguay,6.93,Paraguay,1.006,Paraguay,1.006,Paraguay,0.099,Paraguay,17.1
Peru,34.22,Peru,0.9890000000000001,Peru,0.9890000000000001,Peru,0.13,Peru,26.7
Philippines,115.84,Philippines,0.995,Philippines,0.995,Philippines,0.08800000000000001,Philippines,386.1
Poland,38.54,Poland,0.94,Poland,0.94,Poland,0.263,Poland,125.9
Portugal,10.43,Portugal,0.91,Portugal,0.91,Portugal,0.315,Portugal,113.3
Puerto Rico,3.24,Puerto Rico,0.89,Puerto Rico,0.89,Puerto Rico,0.318,Puerto Rico,373.0
Qatar,3.05,Qatar,2.4819999999999998,Qatar,2.4819999999999998,Qatar,0.035,Qatar,263.1
South Korea,51.72,South Korea,0.997,South Korea,0.997,South Korea,0.27399999999999997,South Korea,522.7
Moldova,3.04,Moldova,0.852,Moldova,0.852,Moldova,0.23,Moldova,92.3
Réunion,0.88,Réunion,0.905,Réunion,0.905,Réunion,0.221,Réunion,351.4
Romania,19.02,Romania,0.9390000000000001,Romania,0.9390000000000001,Romania,0.253,Romania,82.6
Russia,144.82,Russia,0.866,Russia,0.866,Russia,0.24,Russia,8.8
Rwanda,14.26,Rwanda,0.9520000000000001,Rwanda,0.9520000000000001,Rwanda,0.061,Rwanda,588.9
Saint Barthélemy,0.01,Saint Barthélemy,0.883,Saint Barthélemy,0.883,Saint Barthélemy,0.244,Saint Barthélemy,511.7
Saint Helena,0.01,Saint Helena,0.992,Saint Helena,0.992,Saint Helena,0.36,Saint Helena,13.4
Saint Kitts and Nevis,0.05,Saint Kitts and Nevis,0.9179999999999999,Saint Kitts and Nevis,0.9179999999999999,Saint Kitts and Nevis,0.171,Saint Kitts and Nevis,180.2
Saint Lucia,0.18,Saint Lucia,0.975,Saint Lucia,0.975,Saint Lucia,0.149,Saint Lucia,291.8
Saint Martin (French part),0.03,Saint Martin (French part),0.8690000000000001,Saint Martin (French part),0.8690000000000001,Saint Martin (French part),0.258,Saint Martin (French part),493.0
Saint Pierre and Miquelon,0.01,Saint Pierre and Miquelon,0.976,Saint Pierre and Miquelon,0.976,Saint Pierre and Miquelon,0.285,Saint Pierre and Miquelon,24.5
Saint Vincent & Grenadines,0.1,Saint Vincent & Grenadines,1.038,Saint Vincent & Grenadines,1.038,Saint Vincent & Grenadines,0.17800000000000002,Saint Vincent & Grenadines,258.0
Samoa,0.22,Samoa,1.014,Samoa,1.014,Samoa,0.092,Samoa,77.0
San Marino,0.03,San Marino,0.9670000000000001,San Marino,0.9670000000000001,San Marino,0.305,San Marino,550.5
